256
6	7
6	23
6	39
6	55
6	71
6	87
6	103
6	119
6	135
6	151
6	167
6	183
6	199
6	215
6	231
6	247
6	263
6	279
6	295
6	311
6	327
6	343
6	359
6	375
6	391
6	407
6	423
6	439
6	455
6	471
6	487
6	503
12	7
12	23
12	39
12	55
12	71
12	87
12	103
12	119
12	135
12	151
12	167
12	183
12	199
12	215
12	231
12	247
12	263
12	279
12	295
12	311
12	327
12	343
12	359
12	375
12	391
12	407
12	423
12	439
12	455
12	471
12	487
12	503
18	7
18	23
18	39
18	55
18	71
18	87
18	103
18	119
18	135
18	151
18	167
18	183
18	199
18	215
18	231
18	247
18	263
18	279
18	295
18	311
18	327
18	343
18	359
18	375
18	391
18	407
18	423
18	439
18	455
18	471
18	487
18	503
24	7
24	23
24	39
24	55
24	71
24	87
24	103
24	119
24	135
24	151
24	167
24	183
24	199
24	215
24	231
24	247
24	263
24	279
24	295
24	311
24	327
24	343
24	359
24	375
24	391
24	407
24	423
24	439
24	455
24	471
24	487
24	503
30	7
30	23
30	39
30	55
30	71
30	87
30	103
30	119
30	135
30	151
30	167
30	183
30	199
30	215
30	231
30	247
30	263
30	279
30	295
30	311
30	327
30	343
30	359
30	375
30	391
30	407
30	423
30	439
30	455
30	471
30	487
30	503
36	7
36	23
36	39
36	55
36	71
36	87
36	103
36	119
36	135
36	151
36	167
36	183
36	199
36	215
36	231
36	247
36	263
36	279
36	295
36	311
36	327
36	343
36	359
36	375
36	391
36	407
36	423
36	439
36	455
36	471
36	487
36	503
42	7
42	23
42	39
42	55
42	71
42	87
42	103
42	119
42	135
42	151
42	167
42	183
42	199
42	215
42	231
42	247
42	263
42	279
42	295
42	311
42	327
42	343
42	359
42	375
42	391
42	407
42	423
42	439
42	455
42	471
42	487
42	503
48	7
48	23
48	39
48	55
48	71
48	87
48	103
48	119
48	135
48	151
48	167
48	183
48	199
48	215
48	231
48	247
48	263
48	279
48	295
48	311
48	327
48	343
48	359
48	375
48	391
48	407
48	423
48	439
48	455
48	471
48	487
48	503
